basis,N,mean_err_U,std_err_U,mean_err_pred,std_err_pred,mean_prefactor_pred,std_prefactor_pred
random_low_overlap,8,510.143187525344,0.0,116.92229965207,0.0,330.7062038236168,0.0
random_low_overlap,16,637.5904739501747,0.0,250.70671890847746,0.0,1002.8268756339098,0.0
random_low_overlap,32,528.2068927945743,0.0,106.80551205365093,0.0,604.183214729905,0.0
random_low_overlap,64,259.7999956846106,0.0,75.65560979439296,0.0,605.2448783551437,0.0
random_low_overlap,128,182.4994772536548,0.0,15.748127668440038,0.0,178.16972584552713,0.0
random_low_overlap,256,138.18799242052958,0.0,27.050899850172737,0.0,432.8143976027638,0.0
standard,8,127.49253737738395,0.0,35.20943051693304,0.0,99.58730832095969,0.0
standard,16,285.54378220849424,0.0,112.46114437166656,0.0,449.84457748666625,0.0
standard,32,251.43222708473436,0.0,17.209578892810047,0.0,97.35207949176689,0.0
standard,64,121.58396854946686,0.0,55.601750189816684,0.0,444.8140015185335,0.0
standard,128,88.52493995855694,0.0,45.9096266071069,0.0,519.4081327300423,0.0
standard,256,65.12467248712989,0.0,9.061372106450104,0.0,144.98195370320167,0.0
tetrahedral,8,20.833478801705287,0.0,12.804070239353564,0.0,36.215379572143064,0.0
tetrahedral,16,62.53469236029982,0.0,56.33779726227359,0.0,225.35118904909436,0.0
tetrahedral,32,41.7074442357151,0.0,10.08779166830444,0.0,57.0651671668418,0.0
tetrahedral,64,26.318475435560206,0.0,12.278906184396758,0.0,98.23124947517407,0.0
tetrahedral,128,17.606867580329446,0.0,2.661624408810956,0.0,30.1128426950698,0.0
tetrahedral,256,11.77745844186709,0.0,2.744028430925398,0.0,43.90445489480637,0.0
